decile,n,events,observed_event_rate,mean_hazard_score,min_hazard_score,max_hazard_score
1,5642,64,0.011343495214462956,0.043421438863246634,3.6172173739434136e-12,0.08220343823293369
2,5635,38,0.006743566992014197,0.1213002002267114,0.08234164354264575,0.1723074535102165
3,5811,24,0.004130098089829634,0.24402986085535355,0.17260717849975507,0.3234350551429092
4,5459,50,0.009159186664224217,0.4339432387785937,0.32398844877520744,0.563834989106603
5,5626,139,0.02470671880554568,0.8002485904323432,0.5645302397119513,1.0910127765472704
6,5774,75,0.012989262209906477,1.3301366113986486,1.0911584438323525,1.5570692442974003
7,5501,102,0.01854208325758953,1.80631008877769,1.5575203777305022,2.098366996792179
8,5695,198,0.034767339771729584,2.6046681097692757,2.0990994856558194,3.407906368228403
9,5564,954,0.17145938173975558,5.9192397371560865,3.4091563592475604,16.13913129825372
10,5634,4908,0.8711395101171459,530.985040176502,16.142922665096755,8155.987622568904
